Time, ID, Bus, Data
313168,4394100,98,7EA7EB0003FD8000
325786,4214001,98,0000905505281F00
328726,6314000,98,0000000000000000
331886,621401A,98,0005010000000000
334025,4394000,98,00000043
336905,421400B,98,00863E0440000000
339826,4294001,98,0000000000000180
350685,4214006,98,0000000000000000
366084,6314003,98,2010300000000000
369985,621400A,98,0000
375965,4214001,98,0000905505281F00
382845,2214000,98,806800000000
386203,4294001,98,00000000000001
513260,4394100,98,7EB7EA0003FE0000
525877,4214001,98,00009055051A1F00
532499,4394000,98,00000043
535918,4294001,98,0000000000000180
538798,421400B,98,00863E0440000000
550477,4214006,98,0000000000000000
565996,A354003,98,2CA5100370000000
575876,4214001,98,0000905505131F00
578818,6314000,98,0000000000000000
582075,621401A,98,0005010000000000
586075,4294001,98,0000000000000180
613135,4394100,98,7EC7EB0003FE0000
625814,4214001,98,0000905505131F00
632434,4394000,98,00000043
634974,2214000,98,806800000000
637855,421400B,98,00863E0440000000
640774,4294001,98,0000000000000180
650454,4214006,98,0000000000000000
666092,A194003,98,0000400000000000
675953,4214001,98,0000905505171F00
678794,6264000,98,0B1ED07FC3282800
685952,4294001,98,0000000000000180
698152,6214000,98,2C004000003A0B00
713172,4394100,98,7EA7EA0003FE0000
725871,4214001,98,0000905505171F00
728750,63D4000,98,565B000006C00000
732431,4394000,98,00000043
735971,4294001,98,0000000000000180
738851,421400B,98,00863E0440000000
750631,4214006,98,0000000000000000
758150,6254000,98,80FFFF00FFFFFF00
766029,C394003,98,C202000008016000
775850,4214001,98,0000905505171F00
785929,4294001,98,0000000000000180
813168,4394100,98,7EA7EA0003FD8000
825847,4214001,98,0000905505171F00
828789,6314000,98,0000000000000000
831869,621401A,98,0005010000000000
834007,4394000,98,00000043
836927,4294001,98,0000000000000180
839806,421400B,98,00863E0440000000
850666,4214006,98,0000000000000000
853125,E094000,98,001E04401C4B
855066,E094003,98,001E
856845,E094020,98,000A
859926,E09400A,98,001E
866086,6314003,98,2010300000000000
868225,6314020,98,00000098
870025,621400A,98,0000
871806,E09401A,98,001E
875866,4214001,98,0000905505171F00
882826,2214000,98,806800000000
885945,4294001,98,0000000000000180
913165,4394100,98,7EB7EA0003FE0000
925864,4214001,98,0000905505081F00
932463,4394000,98,00000043
935943,4294001,98,0000000000000180
938823,421400B,98,00863E0440000000
948284,6214000,98,2C004000003A0B00
951203,4214006,98,0000000000000000
973342,6284000,98,0000000000000000
976182,4214001,98,0000905505081F00
985982,4294001,98,0000000000000180
1008241,6254000,98,80FFFF00FFFFFF00
1013180,4394100,98,7EA7EA0003FD8000
1023221,2294000,98,0000000000000000
1026020,4214001,98,0000905505171E00
1032420,4394000,98,00000043
1036140,4294001,98,0000000000000180
1039020,421400B,98,00863E0440000000
1050499,4214006,98,0000000000000000
1075878,4214001,98,0000905505171F00
1078817,6314000,98,0000000000000000
1081878,621401A,98,0005010000000000
1085977,4294001,98,0000000000000180
1113157,4394100,98,7EC7EA0003FE0000
1125935,4214001,98,0000905505171F00
1132415,4394000,98,00000043
1134956,2214000,98,806800000000
1137836,421400B,98,00863E0440000000
1140755,4294001,98,0000000000000180
1150475,4214006,98,0000000000000000
1165615,C214003,98,003804012013
1175934,4214001,98,0000905505131F00
1178714,6264000,98,0B1ED07FB3272800
1186015,4294001,98,0000000000000180
1198174,6214000,98,2C004000003A0B00
1213153,4394100,98,7EB7EA0003FE0000
1225893,4214001,98,0000905505131F00
1228773,63D4000,98,565B000006C00000
1232413,4394000,98,00000043
1235991,4294001,98,0000000000000180
1238872,421400B,98,00863E0440000000
1250691,4214006,98,0000000000000000
1258213,6254000,98,80FFFF00FFFFFF00
1265971,C054003,98,1781CAE188E70000
1275891,4214001,98,00009055051A1F00
1285991,4294001,98,0000000000000180
1313150,4394100,98,7EA7EA0003FE0000
1325909,4214001,98,00009055051A1F00
1328849,6314000,98,0000000000000000
1331869,621401A,98,0005010000000000
1334008,4394000,98,00000043
1336928,4294001,98,0000000000000180
1339808,421400B,98,00863E0440000000
1350709,4214006,98,0000000000000000
1366068,6314003,98,2010300000000000
1370008,621400A,98,0000
1375907,4214001,98,00009055051A1F00
1382827,2214000,98,806800000000
1386007,4294001,98,0000000000000180
1413205,4394100,98,7EC7EB0003FE0000
1425925,4214001,98,00009055053A1F00
1432504,4394000,98,00000043
1436024,4294001,98,0000000000000180
1438904,421400B,98,00863E0440000000
1448324,6214000,98,2C004000003A0B00
1451244,4214006,98,0000000000000000
1466025,A3D4003,98,2CA5100370000000
1473282,6284000,98,0000000000000000
1476103,4214001,98,00009055053A1F00
1486023,4294001,98,0000000000000180
1508221,6254000,98,80FFFF00FFFFFF00
1513141,4394100,98,7EA7EA0003FE0000
1525922,4214001,98,00009055052F1F00
1532400,4394000,98,00000043
1536020,4294001,98,0000000000000180
