Time, ID, Data
1275430,18DAF160,056210000B80
1275435,6284000,0000000000000000
1275438,421400B,00863E0400000000
1275440,4294001,0000000000000180
1275453,4214006,0000000000000000
1275470,6254000,80FFFF00FFFFFF00
1275475,4394100,7EA7EA0003FE8000
1275477,4214001,0100808902D71700
1275485,2294000,0000000000000000
1275488,4294001,0000000000000180
1275494,4394000,00000094
1275497,621401A,0005010000000000
1275520,18DA60F1,0322100000000000
1275526,4214001,0100808902D71700
1275530,18DAF160,056210000B80
1275537,4294001,0000000000000180
1275540,421400B,00863E0400000000
1275542,6314000,0000000000000000
1275553,4214006,0000000000000000
1275575,4394100,7EA7EA0003FE0000
1275577,4214001,0100808902D71700
1275587,4294001,0000000000000180
1275594,4394000,00000094
1275596,2214000,006800000000
1275620,18DA60F1,0322100000000000
1275626,4214001,0100808902DF1700
1275630,18DAF160,056210000B80
1275636,4294001,0000000000000180
1275639,421400B,00863E0400000000
1275642,6264000,071EB37FC01A1B00
1275650,C214003,133901012013
1275653,4214006,0000000000000000
1275655,621400A,0000
1275660,6214000,2C00400000340B00
1275675,4394100,7EC7EA0003FE0000
1275677,4214001,0100808902DF1700
1275686,4294001,0000000000000180
1275690,63D4000,595B00000BC00000
1275694,4394000,00000094
1275720,6254000,80FFFF00FFFFFF00
1275722,18DA60F1,0322100000000000
1275726,4214001,0100808902DF1700
1275730,18DAF160,056210000B80
1275736,4294001,0000000000000180
1275739,421400B,00863E0400000000
1275745,621401A,0005010000000000
1275750,C054003,0471CAE188CC0000
1275753,4214006,0000000000000000
1275775,4394100,7E97EA0003FE0000
1275777,4214001,0100808902DF1700
1275786,4294001,0000000000000180
1275790,6314000,0000000000000000
1275794,4394000,00000094
1275820,18DA60F1,0322100000000000
1275826,4214001,0100808902D71700
1275830,18DAF160,056210000B80
1275836,4294001,0000000000000180
1275839,421400B,00863E0400000000
1275841,18DA40F1,03220131
1275844,2214000,006800000000
1275846,18DAF140,0462013114
1275850,6314003,2010300000000000
1275853,4214006,0000000000000000
1275875,4394100,7EA7EA0003FE0000
1275877,4214001,0100808902D71700
1275886,4294001,0000000000000180
1275894,4394000,00000094
1275910,6214000,2C00400000340B00
1275920,18DA60F1,0322100000000000
1275926,4214001,0100808902D71700
1275930,18DAF160,056210000B80
1275935,6284000,0000000000000000
1275938,421400B,00863E0400000000
1275940,4294001,0000000000000180
1275950,A3D4003,2CA51002D0000000
1275953,4214006,0000000000000000
1275970,6254000,80FFFF00FFFFFF00
1275975,4394100,7EB7EA0003FE0000
1275977,4214001,0100808902DB1700
1275987,4294001,0000000000000180
1275994,4394000,00000094
1275997,621401A,0005010000000000
1276020,18DA60F1,0322100000000000
1276026,4214001,0100808902DB1700
1276030,18DAF160,056210000B80
1276037,4294001,0000000000000180
1276039,421400B,00863E0400000000
1276042,6314000,0000000000000000
1276050,A354003,2CA51002D0000000
1276053,4214006,0000000000000000
1276075,4394100,7E97EA0003FE0000
1276077,4214001,0100808902DB1700
1276086,4294001,0000000000000180
1276094,4394000,00000094
1276096,2214000,006800000000
1276120,18DA60F1,0322100000000000
1276126,4214001,0100808902E61700
1276130,18DAF160,056210000B80
1276136,4294001,0000000000000180
1276139,421400B,00863E0400000000
1276142,6264000,071EB37FD0181B00
1276150,A194003,0000400000000000
1276153,4214006,0000000000000000
1276155,621400A,0000
1276160,6214000,2C00400000340B00
1276175,4394100,7EB7EA0003FE0000
1276177,4214001,0100808902E61700
1276186,4294001,0000000000000180
1276190,63D4000,595B00000BC00000
1276194,4394000,00000094
1276219,6254000,80FFFF00FFFFFF00
1276222,18DA60F1,0322100000000000
1276226,4214001,0100808902E61700
1276230,18DAF160,056210000B80
1276236,4294001,0000000000000180
1276239,421400B,00863E0400000000
1276246,621401A,0005010000000000
1276250,C394003,C202000008016000
1276253,4214006,0000000000000000
1276275,4394100,7EB7EA0003FE0000
1276277,4214001,0100808902E61700
1276286,4294001,0000000000000180
1276290,6314000,0000000000000000
1276294,4394000,00000094
1276306,E094000,001E04401C4B
1276309,E094003,000E
1276314,E09400A,000E
1276317,E094020,000A
1276321,18DA60F1,0322100000000000
1276324,E09401A,000E
1276327,4214001,0100808902E61700
1276330,18DAF160,056210000B80
1276336,4294001,0000000000000180
1276339,421400B,00863E0400000000
1276344,2214000,006800000000
1276350,6314003,2010300000000000
1276353,4214006,0000000000000000
1276369,6314020,080000A4
1276375,4394100,7E97EA0003FE8000
1276377,4214001,0100808902E61700
1276387,4294001,0000000000000180
1276394,4394000,00000094
1276410,6214000,2C00400000340B00
1276420,18DA60F1,0322100000000000
1276426,4214001,0100808902E61700
1276430,18DAF160,056210000B80
1276435,6284000,0000000000000000
1276438,421400B,00863E0400000000
1276440,4294001,0000000000000180
1276453,4214006,0000000000000000
1276470,6254000,80FFFF00FFFFFF00
1276475,4394100,7EA7EA0003FE0000
1276477,4214001,0100808902E61700
1276485,2294000,0000000000000000
1276488,4294001,0000000000000180
1276494,4394000,00000094
1276497,621401A,0005010000000000
1276519,18DA60F1,0322100000000000
1276526,4214001,0100808902E61700
1276530,18DAF160,056210000B80
1276537,4294001,0000000000000180
1276539,421400B,00863E0400000000
1276542,6314000,0000000000000000
1276553,4214006,0000000000000000
1276575,4394100,7EA7EA0003FE8000
1276577,4214001,0100808902E61700
1276587,4294001,0000000000000180
1276594,4394000,00000094
1276596,2214000,006800000000
1276620,18DA60F1,0322100000000000
1276626,4214001,0100808902E61700
1276630,18DAF160,056210000B80
1276636,4294001,0000000000000180
1276639,421400B,00863E0400000000
1276642,6264000,071EB37FD01B1B00
1276650,C214003,133901012013
1276653,4214006,0000000000000000
1276655,621400A,0000
1276660,6214000,2C00400000340B00
1276675,4394100,7EC7EA0003FE8000
1276677,4214001,0100808902E61700
1276686,4294001,0000000000000180
1276690,63D4000,595B00000BC00000
1276694,4394000,00000094
1276719,6254000,80FFFF00FFFFFF00
1276722,18DA60F1,0322100000000000
1276726,4214001,0100808902E21700
1276730,18DAF160,056210000B80
1276736,4294001,0000000000000180
1276739,421400B,00863E0400000000
1276745,621401A,0005010000000000
1276750,C054003,0471CAE188CC0000
1276753,4214006,0000000000000000
1276775,4394100,7ED7EA0003FE0000
1276777,4214001,0100808902E21700
1276786,4294001,0000000000000180
1276790,6314000,0000000000000000
1276794,4394000,00000094
1276821,18DA60F1,0322100000000000
1276826,4214001,0100808902E21700
1276830,18DAF160,056210000B80
1276836,4294001,0000000000000180
1276839,421400B,00863E0400000000
