Time, ID, Data
661957,A3D4003,2CA5100230000000
661962,4214001,0100808702E91700
661965,18DA98F1,0322029200000000
661972,4294001,0000000000000180
661975,18DAF198,0762029202011000
661982,4214006,0000000000000000
661989,6254000,80FFFF00FFFFFF00
661994,4394100,7EC7EA0003FE8000
661997,621401A,0005010000000000
662013,4214001,0100808702E21700
662015,4394000,00000094
662022,4294001,0000000000000180
662025,421400B,00863E0400000000
662055,A354003,2CA5100230000000
662059,6314000,0000000000000000
662062,4214001,0100808702E21800
662065,18DA98F1,0322029200000000
662072,4294001,0000000000000180
662075,18DAF198,0762029202011000
662082,4214006,0000000000000000
662094,4394100,7EA7EA0003FE8000
662113,4214001,0100808702E21700
662115,2214000,006800000000
662117,4394000,00000094
662122,4294001,0000000000000180
662125,421400B,00863E0400000000
662155,A194003,0000400000000000
662159,6264000,071ECF7FD0191C00
662162,4214001,0100808702E91700
662165,18DA98F1,0322029200000000
662172,4294001,0000000000000180
662175,18DAF198,0762029202011000
662179,6214000,2C00400000340B00
662182,4214006,0000000000000000
662194,4394100,7EA7EB0003FE8000
662209,63D4000,595B00000BC00000
662213,4214001,0100808702E91700
662215,4394000,00000094
662222,4294001,0000000000000180
662225,421400B,00863E0400000000
662239,6254000,80FFFF00FFFFFF00
662245,621401A,0005010000000000
662255,C394003,C202000008016000
662256,621400A,0000
662262,4214001,0100808702E91700
662265,18DA98F1,0322029200000000
662272,4294001,0000000000000180
662275,18DAF198,0762029202011000
662282,4214006,0000000000000000
662294,4394100,7EB7EA0003FE8000
662309,6314000,0000000000000000
662313,4214001,0100808702ED1700
662315,4394000,00000094
662322,4294001,0000000000000180
662325,421400B,00863E0400000000
662327,E094000,001E04401C4B
662332,E094020,000A
662334,E094003,000E
662335,E09400A,000E
662344,E09401A,000E
662355,6314003,2010300000000000
662362,4214001,0100808702ED1700
662365,2214000,006800000000
662367,6314020,18000098
662369,18DA98F1,0322029200000000
662372,4294001,0000000000000180
662375,18DAF198,0762029202011000
662382,4214006,0000000000000000
662394,4394100,7EA7EA0003FE8000
662413,4214001,0100808702ED1700
662415,4394000,00000094
662422,4294001,0000000000000180
662425,421400B,00863E0400000000
662429,6214000,2C00400000340B00
662454,6284000,0000000000000000
662462,4214001,0100808702E61700
662465,18DA98F1,0322029200000000
662472,4294001,0000000000000180
662475,18DAF198,0762029202011000
662482,4214006,0000000000000000
662489,6254000,80FFFF00FFFFFF00
662494,4394100,7EA7EA0003FE8000
662497,621401A,0005010000000000
662504,2294000,0000000000000000
662512,4214001,0100808702E61700
662515,4394000,00000094
662522,4294001,0000000000000180
662525,421400B,00863E0400000000
662559,6314000,0000000000000000
662562,4214001,0100808702E61700
662565,18DA98F1,0322029200000000
662572,4294001,0000000000000180
662575,18DAF198,0762029202011000
662582,4214006,0000000000000000
662594,4394100,7E87EA0003FF8000
662613,4214001,0100808702DF1700
662615,2214000,006800000000
662617,4394000,00000094
