Time, ID, Bus, Data
213778685,4294001,98,0000000000000180
213795425,4394100,98,7EC7EB0003FD8000
213806364,621401A,98,0005010000000000
213810505,6314000,98,0000000000000000
213814724,4394000,98,00000043
213818584,4214001,98,0000906104D71F00
213828683,4294001,98,0000000000000180
213831583,421400B,98,00863E0400000000
213834503,4214006,98,0000000000000000
213845383,6314003,98,2010300000000000
213847163,621400A,98,0000
213865222,2214000,98,006800000000
213868582,4214001,98,0000906104D71F00
213878702,4294001,98,0000000000000180
213895500,4394100,98,7EB7EB0003FD8000
213914761,4394000,98,00000043
213918580,4214001,98,0000906104C91F00
213928701,4294001,98,0000000000000180
213931600,421400B,98,00863E0400000000
213934520,4214006,98,0000000000000000
213937399,6214000,98,2C004000003A0B00
213945359,A3D4003,98,2CA5100390000000
213955499,6284000,98,0000000000000000
213968577,4214001,98,0000906104C91F00
213978697,4294001,98,0000000000000180
213990438,6254000,98,80FFFF00FFFFFF00
213995439,4394100,98,7EA7EA0003FD8000
214014697,4394000,98,00000043
214018616,4214001,98,0000906104C91F00
214028796,4294001,98,0000000000000180
214031696,421400B,98,00863E0400000000
214034616,4214006,98,0000000000000000
214045297,A354003,98,2CA5100390000000
214056556,621401A,98,0005010000000000
214060476,6314000,98,0000000000000000
214068617,4214001,98,0000906104C91F00
214078715,4294001,98,0000000000000180
214095436,4394100,98,7EA7EA0003FD8000
214114695,4394000,98,00000043
214117234,2214000,98,006800000000
214120094,4214001,98,0000906104C11F00
214128735,4294001,98,0000000000000180
214131634,421400B,98,00863E0400000000
214134554,4214006,98,0000000000000000
214145393,A194003,98,0000400000000000
214160394,6264000,98,0A1ED07FB0252500
214168672,4214001,98,0000906104C11F00
214178731,4294001,98,0000000000000180
214181612,6214000,98,2C004000003A0B00
214195412,4394100,98,7EC7EC0003FD8000
214210430,63D4000,98,565B000007C00000
214214691,4394000,98,00000043
214218671,4214001,98,0000906104C11F00
214228731,4294001,98,0000000000000180
214231650,421400B,98,00863E0400000000
214234570,4214006,98,0000000000000000
214240430,6254000,98,80FFFF00FFFFFF00
214245311,C394003,98,C202000008016000
214268610,4214001,98,0000906104BA1F00
214278749,4294001,98,0000000000000180
214295488,4394100,98,7EA7EA0003FD8000
214306368,621401A,98,0005010000000000
214310586,6314000,98,0000000000000000
214314787,4394000,98,00000043
214318627,4214001,98,0000906104BA1F00
214328767,4294001,98,0000000000000180
214331666,421400B,98,00863E0400000000
214334586,4214006,98,0000000000000000
214337046,E094000,98,001E04401C4B
214339266,E094003,98,001E
214342967,E094020,98,000A
214345866,6314003,98,2010300000000000
214348007,6314020,98,1000009C
214349786,E09400A,98,001E
214351586,621400A,98,0000
214355264,E09401A,98,001E
214365144,2214000,98,006800000000
214368724,4214001,98,0000906104BE1F00
214378763,4294001,98,0000000000000180
214395382,4394100,98,7EB7EB0003FE0000
214414703,4394000,98,00000043
214418726,4214001,98,0000906104BE1F00
214428781,4294001,98,0000000000000180
214431682,421400B,98,00863E0400000000
214434602,4214006,98,0000000000000000
214437481,6214000,98,2C004000003A0B00
214455481,6284000,98,0000000000000000
214468761,4214001,98,0000906104BE1F00
214478821,4294001,98,0000000000000180
214490420,6254000,98,80FFFF00FFFFFF00
214495399,4394100,98,7EA7EB0003FD8000
214505499,2294000,98,0000000000000000
214514679,4394000,98,00000043
214518738,4214001,98,0000906104C11F00
214528778,4294001,98,0000000000000180
214531679,421400B,98,00863E0400000000
214534598,4214006,98,0000000000000000
214556358,621401A,98,0005010000000000
214560477,6314000,98,0000000000000000
214568717,4214001,98,0000906104C11F00
214578796,4294001,98,0000000000000180
214595435,4394100,98,7EC7EA0003FE0000
214614676,4394000,98,00000043
214617215,2214000,98,006800000000
214620075,4214001,98,0000906104C11F00
214628796,4294001,98,0000000000000180
214631696,421400B,98,00863E0400000000
214634614,4214006,98,0000000000000000
214644914,C214003,98,004204012013
214660375,6264000,98,0A1ED07FB0242400
214668734,4214001,98,0000906104C11F00
214678793,4294001,98,0000000000000180
214681673,6214000,98,2C004000003A0B00
214695391,4394100,98,7EA7EB0003FD8000
214710412,63D4000,98,565B000007C00000
214714671,4394000,98,00000043
214718712,4214001,98,0000906104CC1F00
214728811,4294001,98,0000000000000180
214731712,421400B,98,00863E0400000000
214734631,4214006,98,0000000000000000
214740411,6254000,98,80FFFF00FFFFFF00
214745271,C054003,98,1781CAE188E70000
214768731,4214001,98,0000906104CC1E00
214778809,4294001,98,0000000000000180
214795510,4394100,98,7ED7EA0003FD8000
214806348,621401A,98,0005010000000000
