Time, ID, Bus, Data
283558196,6254000,98,80FFFF00FFFFFF00
283562956,4394100,98,7EA7EA0003FC8000
283566875,4214006,98,0000000000000000
283573035,2294000,98,0000000000000000
283582236,4394000,98,00000043
283592275,4214001,98,0000916604F02200
283602434,4294001,98,0000000000000180
283628053,6314000,98,4000000000000000
283642294,4214001,98,0000916604F02100
283652432,4294001,98,0000000000000180
283655332,421400B,98,00863E0400000000
283662932,4394100,98,7EA7EB0003FC8000
283666911,4214006,98,0000000000000000
283682233,4394000,98,00000043
283684772,2214000,98,006800000000
283692271,4214001,98,0000916604C92100
283698930,C214003,98,004304012013
283702591,4294001,98,0000000000000180
283727950,6264000,98,0C1EB47F901A2100
283742309,4214001,98,0000916604C92000
283748049,6214000,98,28004000003A0B00
283752450,4294001,98,0000000000000180
283755349,421400B,98,00863E0400000000
283763049,4394100,98,7EB7EB0003FC8000
283766908,4214006,98,0000000000000000
283778069,63D4000,98,5656000007C20000
283782349,4394000,98,00000043
283786648,621401A,98,8005010000000000
283792368,4214001,98,0000916604D02000
283799268,C054003,98,1781CAE180E70000
283802507,4294001,98,0000000000000180
283808046,6254000,98,80FFFF00FFFFFF00
283842385,4214001,98,0000916604D02000
283852486,4294001,98,0000000000000180
283855386,421400B,98,00863E0400000000
283862945,4394100,98,7EA7EA0003FC8000
283866965,4214006,98,0000000000000000
283878025,6314000,98,4000000000000000
283882226,4394000,98,00000043
283892345,4214001,98,0000916604EC1F00
283899286,6314003,98,A210300080800000
283902465,4294001,98,0000000000000180
283932625,2214000,98,006800000000
283942342,4214001,98,0000916604EC1F00
283952483,4294001,98,0000000000000180
283955402,421400B,98,00863E0400000000
283962924,4394100,98,7EB7EB0003FD8000
283966923,4214006,98,0000000000000000
283982222,4394000,98,00000043
283992401,4214001,98,0000916604EC1E00
283997942,6214000,98,28004000003A0B00
284000782,A3D4003,98,2CA51003A0000000
284003702,4294001,98,0000000000000180
284023021,6284000,98,0000000000000000
284036640,621401A,98,8005010000000000
284042400,4214001,98,0000916604EC1E00
284052499,4294001,98,0000000000000180
284055400,421400B,98,00863E0400000000
284058279,6254000,98,80FFFF00FFFFFF00
284062960,4394100,98,7ED7EA0003FC8000
284066959,4214006,98,0000000000000000
284082220,4394000,98,00000043
284092417,4214001,98,0000916604EC1E00
284099297,A354003,98,2CA51003A0000000
284102498,4294001,98,0000000000000180
284128017,6314000,98,4000000000000000
284142357,4214001,98,0000916605051E00
284152496,4294001,98,0000000000000180
284155396,421400B,98,00863E0400000000
284162936,4394100,98,7EB7EA0003FC8000
284166955,4214006,98,0000000000000000
284182215,4394000,98,00000043
