Time, ID, Bus, Data
83020223,2294000,98,0000000000000000
83029402,4394000,98,00000043
83037382,4214001,98,0000905D008A1700
83047302,4294001,98,0000000000000180
83050201,421400B,98,00863E0400000000
83075201,6314000,98,0000000000000000
83087140,4214001,98,0000905D008A1500
83097420,4294001,98,0000000000000180
83110119,4394100,98,7EB7EB0003FE0000
83129477,4394000,98,00000043
83132018,2214000,98,000000000000
83137379,4214001,98,0000905D008A1100
83147258,4294001,98,0000000000000180
83150158,421400B,98,00863E0400000000
83164318,C214003,98,004004012013
83175216,6264000,98,031ED07FC0005A00
83187077,4214001,98,0000905D008A0F00
83195217,6214000,98,0000180000000B00
83198137,4294001,98,0000000000000180
83210136,4394100,98,7EB7EB0003FE0000
83225135,63D4000,98,565B000006C00000
83229395,4394000,98,00000043
83237175,4214001,98,0000905D008A0C00
83247054,4294001,98,0000000000000180
83249954,421400B,98,00863E0400000000
83255134,6254000,98,80FFFF00FFFFFF00
83264614,C054003,98,1781CAE180E70000
83287013,4214001,98,0000905D00000900
83297193,4294001,98,0000000000000180
83310092,4394100,98,7EB7EB0003FE0000
83325192,6314000,98,0000000000000000
83329391,4394000,98,00000043
83337211,4214001,98,0000905D00000900
83347050,4294001,98,0000000000000180
83349951,421400B,98,00863E0400000000
83364690,6314003,98,0010700000000000
83372091,621400A,98,0000
83379811,2214000,98,000000000000
83387030,4214001,98,0000905D00000900
83397270,4294001,98,0000000000000180
83410089,4394100,98,7EB7EB0003FE0000
83429390,4394000,98,00000043
83437387,4214001,98,0000905D00000900
83445147,6214000,98,0000180000000B00
83448048,421400B,98,00863E0400000000
83450969,4294001,98,0000000000000180
83464669,A3D4003,98,2CA5100380000000
83470209,6284000,98,0000000000000000
83487727,4214001,98,0000905D00000000
83497588,4294001,98,0000000000000180
83505128,6254000,98,80FFFF00FFFFFF00
83510088,4394100,98,7EB7EB0003FE0000
83529387,4394000,98,00000043
83538227,4214001,98,0000905D00000000
83547586,4294001,98,0000000000000180
83550486,421400B,98,00863E0400000000
83564685,A354003,98,2CA5100380000000
83575186,6314000,98,0000000000000000
83587704,4214001,98,0000905D00000000
83597585,4294001,98,0000000000000180
83610204,4394100,98,7EB7EB0003FE0000
83629503,4394000,98,00000043
83632043,2214000,98,000000000000
83638143,4214001,98,0000905D00000000
