Time, ID, Bus, Data
150282774,E094000,98,001800000001
150334373,E094000,98,000E00000001
150338253,4214006,98,0000000000000000
150340293,E094003,98,001A
150343173,6214000,98,2800C80000000F00
150345713,2214000,98,006800000000
150348593,6314003,98,0010700000000000
150350373,E09400A,98,001A
150352173,621400A,98,0000
150367434,2214000,98,006800000000
150376412,6314003,98,0010300000000000
150397612,4394100,98,80080000F4006000
150410411,4214001,98,0083906000000000
150416931,4394000,98,00000043
150420371,4294001,98,0000000000000580
150423310,421400B,98,0000000000000000
150432531,6214000,98,2800C80000000F00
150439310,4214006,98,0000000000000000
150457730,6284000,98,0000000000000000
150460589,4214001,98,0083916000000000
150470349,4294001,98,0000000000000580
150492548,6254000,98,00FFFF00FFFFFF00
150497669,4394100,98,80080000F4006000
150507729,2294000,98,0000000000000000
150510588,4214001,98,0083916000000000
150516948,4394000,98,00000043
150520349,4294001,98,0000000000000580
150523229,421400B,98,00D63E0400000000
150539467,4214006,98,0000000000000000
150546047,E09401A,98,000C
150557186,621401A,98,8000000000000000
150560326,4214001,98,0083916000000000
150563265,6314000,98,4000000000000000
150570366,4294001,98,0000000000000580
150597664,4394100,98,80080000F4006000
150610325,4214001,98,0083916000000000
150616964,4394000,98,00000043
150619505,2214000,98,806800000000
150622384,421400B,98,00D63E0400000000
150625284,4294001,98,0000000000000580
150637982,4214006,98,0000000000000000
150645942,C214003,98,004104012013
150656303,6314003,98,A210300080800000
150660343,4214001,98,0083916000000000
150663162,6264000,98,081ED08003C24800
150670382,4294001,98,0000000000000580
150682542,6214000,98,2800C80000000F00
150697721,4394100,98,80080000F4006000
150710341,4214001,98,0083916000000000
150713221,63D4000,98,564E000006C00000
150716820,4394000,98,00000043
150720381,4294001,98,0000000000000580
150723260,421400B,98,00D63E0400000000
150739240,4214006,98,0000000000000000
150742539,6254000,98,00FFFF00FFFFFF00
150746279,C054003,98,1781CAE180E70000
150760359,4214001,98,0083916000000000
150770398,4294001,98,0000000000000580
150797598,4394100,98,7EC7EA0004006000
150807218,621401A,98,8000000000000000
150810358,4214001,98,0083916000000000
150813299,6314000,98,4000000000000000
150816918,4394000,98,00000043
150820418,4294001,98,0000000000000580
150823298,421400B,98,00D63E0400000000
150839297,4214006,98,0000000000000000
150843816,621400A,98,0000
150846637,6314003,98,A210300080800000
150860396,4214001,98,0083916000000000
150867277,2214000,98,806800000000
150870477,4294001,98,0000000000000580
150897635,4394100,98,7EC7EB0003FD8000
150910375,4214001,98,0083916000000000
150916894,4394000,98,00000043
150920414,4294001,98,0000000000000580
