Time,ID,Data
357591,4294001,0000903900000000
357602,4214006,000C000000002000
357605,421400B,01A13E0800000108
357612,4214001,0000802E10332B00
357618,62BBF00,0000000000000000
357623,4394100,8357DC0003FF8000
357630,4294001,0000903900000000
357642,4394000,00000000
357645,2214000,006800000000
357647,4214001,0000802E10332B00
357657,4294001,0000903900000000
357667,421400B,00A13E0800000108
357669,302911A,000001EC
357671,C214003,122601012013
357676,4214001,0000802E10332B00
357686,4294001,0000903900000000
357688,6264000,1430598020003104
357700,4214006,000C000000002000
357703,4214001,0000802E10332B00
357708,6214000,2C00400000250E00
357712,4294001,0000903900000000
357723,4394100,8327DD0004000000
357726,421400B,00A13E0800000108
357736,4214001,0000802E10332B00
357738,63D4000,5759000006C50000
357742,4394000,00000000
357752,4294001,0000903900000000
357766,4214001,0000802E10332B00
357768,6254000,00FFFF00FFFFFF20
357771,302911A,000002CB
357773,C054003,0471CAE188900000
357783,421400B,00A13E0800000108
357786,4294001,0000903900000000
357791,4214001,0000802E10332B00
357807,4214006,000C000000002000
357823,4294001,0000903900000000
357826,4394100,8317DE0004000000
357829,4214001,0000802E10332B00
357831,621401A,0007030000000000
357838,6314000,0000000000000000
357842,4394000,00000000
357850,421400B,00A13E0800000108
357853,4294001,0000903900000000
357856,4214001,0000802E10332B00
357869,6314003,2210300000000000
357871,302911A,000003D6
357886,4214001,0000802E10332B00
357893,2214000,006800000000
357900,4214006,000C000000002000
357903,4294001,0000903900000000
357906,421400B,00A13E0800000108
357916,4214001,0000802E10332B00
357923,4394100,8327DD0004000000
357931,4294001,0000903900000000
357942,4394000,00000000
357957,4294001,0000903900000000
357960,6214000,2C00400000250E00
357962,421400B,00A13E0800000108
357969,A3D4003,2CA51002A0000000
357971,302911A,00000485
357974,4214001,0000802E10332B00
357983,6284000,0000000000000000
357995,4294001,0000903900000000
358012,4214006,000C000000002000
358016,4214001,0000802E10332B00
358019,6254000,00FFFF00FFFFFF20
358023,4394100,8327DC0004000000
358031,421400B,00A13E0800000108
358034,4294001,0000903900000000
358042,4394000,00000000
358044,621400A,0000
358055,4214001,0000802E10332B00
358061,4294001,0000903900000000
358069,A354003,2CA51002A0000000
358071,302911A,00000598
358080,621401A,0007030000000000
358082,4214001,0000802E10332B00
358086,4294001,0000903900000000
358089,6314000,0000000000000000
358096,421400B,00A13E0800000108
358100,4214006,000C000000002000
358112,4294001,0000903900000000
358116,4214001,0000802E10332B00
358119,62BBF00,0000000000000000
358123,4394100,8327DE0004000000
358142,4394000,00000000
358145,2214000,006800000000
358151,421400B,00A13E0800000108
358154,4294001,0000903900000000
358156,4214001,0000802E10332B00
358169,A194003,0000400000000000
358171,302911A,000006BF
358176,4294001,0000903900000000
358188,6264000,1430598000003104
358206,4214001,0000802E10332B00
358208,6214000,2C00400000250E00
358217,4214006,000C000000002000
358219,421400B,00A13E0800000108
358223,4394100,8307DC0004000000
358233,4294001,0000903900000000
358238,63D4000,5759000006C50000
358241,4214001,0000802E10332B00
358244,4394000,00000000
358261,4294001,0000903900000000
358268,6254000,00FFFF00FFFFFF20
358270,302911A,000007A2
358273,421400B,00A13E0800000108
358276,4214001,0000802E10332B00
358279,C394003,C202000008016000
358295,4294001,0000903900000000
358302,4214006,000C000000002000
358305,4214001,0000802E10332B00
358323,4294001,0000903900000000
358326,421400B,00A13E0800000108
358328,4394100,8327DD0004000000
358331,621401A,0007030000000000
358334,4214001,0000802E10332B00
358338,6314000,0000000000000000
358342,4394000,00000000
358355,E094000,001E04401C4B
358358,E094003,001E
358361,4214001,0000802E10332B00
358364,4294001,0000903900000000
358365,E09400A,0036
358367,E094020,000E
358369,302911A,00000819
358372,6314003,2210300000000000
358374,E09401A,001E
358376,E094024,003A
358379,421400B,00A13E0800000108
358381,6314020,000000A4
358392,4214001,0000802E10332B00
358394,2214000,006800000000
358397,4294001,0000903900000000
358402,4214006,000C000000002000
358421,4214001,0000802E10332B00
358424,4394100,8307DC0004000000
358432,421400B,00A13E0800000108
358442,4294001,0000903900000000
358444,4394000,00000000
358450,4214001,0000802E10332B00
358458,6214000,2C00400000250E00
358467,4294001,0000903900000000
358469,302911A,00000904
358483,6284000,0000000000000000
358495,4294001,0000903900000000
358498,4214001,0000802E10332B00
358501,4214006,000C000000002000
358504,421400B,00A13E0800000108
358518,6254000,00FFFF00FFFFFF20
358523,4394100,8327DD0004000000
358526,4214001,0000802E10332B00
358532,4294001,0000903900000000
358535,2294000,0000000000000000
358540,6314024,0000000000000000
358542,4394000,00000000
358544,621400A,0000
358555,4214001,0000802E10332B00
358558,4294001,0000903900000000
358561,421400B,01A13E0800000108
358569,302911A,00000A23
358579,621401A,0007030000000000
358585,4294001,0000903900000000
358588,6314000,0000000000000000
358595,4214001,0000802E10332B00
358600,4214006,000C000000002000
358611,4294001,0000903900000000
358615,421400B,00A13E0800000108
358618,62BBF00,0000000000000000
358623,4394100,8317DE0004000000
358641,4294001,0000903900000000
358644,2214000,006800000000
358646,4394000,00000000
358667,421400B,00A13E0800000108
358669,302911A,00000B3E
358672,4214001,0000802E10332B00
358675,4294001,0000903900000000
358677,C214003,122601012013
358688,6264000,1430598000003104
358697,4214001,0000802E10332B00
358700,4214006,000C000000002000
358708,6214000,2C00400000250E00
358717,4294001,0000903900000000
358722,4214001,0000802E10332B00
358725,4394100,8327DC0004000000
358736,421400B,00A13E0800000108
358738,63D4000,5759000006C50000
358742,4394000,00000000
358746,4294001,0000903900000000
358760,4214001,0000802E10332B00
358768,6254000,00FFFF00FFFFFF20
358770,302911A,00000C6D
358773,C054003,0471CAE188900000
