Time, ID, Data
5415589,E094000,001C00000001
5468047,E094000,000E00000803
5470847,4214001,0000802E10332B00
5473707,421400B,00A13E0800000108
5476567,4294001,0000903900000000
5479487,4214006,0000000000000000
5481268,E094003,000A
5484147,6314003,0010700000000000
5485927,E09400A,0032
5487726,621400A,0000
5490527,4214001,0000802E10332B00
5494107,6214000,2000C80000000F00
5496646,2214000,806800000000
5499807,4294001,0000903900000000
5502648,421400B,01A13E0800000108
5505447,4214001,0000802E10332B00
5507987,2214000,806800000000
5525526,4294001,0000903900000000
5533066,4214001,0000802E10332B00
5536186,4394100,80080000F4006000
5550826,4294001,0000903900000000
5556065,421400B,00A13E0800000108
5558226,4394000,0000004E
5563806,4214001,0000802E10332B00
5571166,6214000,2000C80000000F00
5583805,4214006,0000000000000000
5588086,4294001,0000903900000000
5590886,4214001,0000802E10332B00
5596146,6284000,0000000000000000
5609044,421400B,00A13E0800000108
5613505,4294001,0000903900000000
5625384,4214001,0000802E10332B00
5631065,6254000,00FFFF00FFFFFF00
5636164,4394100,80080000F4006000
5639125,4294001,0000903900000000
5646245,2294000,0000000000000000
5655465,4394000,0000004E
5660885,421400B,00A13E0800000108
5663825,4214001,0000802E10332B00
5673323,4294001,0000903900000000
5676244,4214006,0000000000000000
5679743,E09401A,000C
5690103,302911A,000000F1
5693444,4214001,0000802E10332B00
5700884,621401A,8000000000000000
5703823,6314000,4000000000000000
5709723,4294001,0000903900000000
5718243,421400B,00A13E0800000108
5721043,4214001,0000802E10332B00
5731181,62BBF00,0000000000000000
5736183,4394100,8327DC0003FF8000
5743523,4214001,0000802E10332B00
5746384,4294001,0000903900000000
5755482,4394000,0000004E
5758022,2214000,806800000000
5768163,421400B,00A13E0800000108
5771022,4294001,0000903900000000
5775761,4214001,0000802E10332B00
5778182,C214003,033704012013
5781102,4214006,0000000000000000
5790141,302911A,000001EC
5792961,6314003,A210700080800000
5795822,4294001,0000903900000000
5801221,6264000,1432CF7FF3003100
5805623,4214001,0000802E10332B00
5820840,421400B,00A13E0800000108
5823741,6214000,2000C80000000F00
5829661,4294001,0000903900000000
5836240,4394100,8327DC0004008000
5840781,4214001,0000802E10332B00
5851241,63D4000,5547000006C50000
5855421,4394000,0000004E
5858761,4294001,0000903900000000
5866020,4214001,0000802E10332B00
5873241,421400B,00A13E0800000108
5877840,C054003,1781CAE180DB0000
5880761,4214006,0000000000000000
5883660,6254000,00FFFF00FFFFFF00
5890101,302911A,000002CB
5893320,4214001,0000802E10332B00
5907859,4294001,0000903900000000
5925940,4214001,0000802E10332B00
5928800,421400B,00A13E0800000108
5935419,4294001,0000903900000000
5938280,4394100,8357DB0004010000
5950958,621401A,8000000000000000
5953897,6314000,4000000000000000
5956699,4214001,0000802E10332B00
5958859,4394000,0000004E
5977860,6314003,A210700080800000
5980777,4214006,0000000000000000
5983578,4214001,0000802E10332B00
5985357,621400A,0000
5988197,421400B,01A13E0800000108
5990298,302911A,000003D6
5993157,4294001,0000903900000000
6005717,2214000,806800000000
6009296,4214001,0000802E10332B00
6012157,4294001,0000903900000000
6033177,421400B,00A13E0800000108
6035976,4214001,0000802E10332B00
6038858,4394100,8317DB0004008000
6055336,4394000,0000004E
6063916,4294001,0000903900000000
6071155,6214000,2000C80000000F00
6073956,4214001,0000802E10332B00
6076876,4214006,0000000000000000
6079756,A3D4003,2CA5100000000000
6082617,621401A,8007010000000000
6090114,302911A,00000485
6093614,421400B,00A13E0800000108
6096514,6214000,2000C80000000E00
6099453,6284000,0000000000000000
6102314,4294001,0000903900000000
6107974,4214001,0000802E10332B00
6119773,421400B,00A13E0800000108
6122653,6214000,2000480000000E00
6125453,4214001,0000802E10332B00
6130094,4294001,0000903900000000
6132994,6254000,00FFFF00FFFFFF00
6136393,4394100,8337DC0003FF8000
6151253,4214001,0000802E10332B00
6155254,4214001,0000802E10332B00
6157414,4394000,0000004E
6168472,4294001,0000903900000000
6171314,421400B,01A13E0800000108
6177894,A354003,2CA5100000000000
6180812,4214006,0000000000000000
6183754,4214001,0000802E10332B00
6190152,302911A,00000598
6193791,4294001,0000903900000000
6200891,621401A,8007010000000000
6203833,6314000,4000000000000000
6218893,4294001,0000903900000000
6223793,4214001,0000802E10332B00
6230912,421400B,00A13E0800000108
6233893,62BBF00,0000000000000000
6236773,4394100,8327DC0004010000
6245571,4294001,0000903900000000
6250611,4214001,0000802E10332B00
6255672,4394000,0000004E
6258210,2214000,806800000000
6275331,4214006,0000000000000000
6278191,4294001,0000903900000000
6281110,A194003,0000400000000000
6286390,421400B,00A13E0800000108
6290150,302911A,000006BF
6293690,4214001,0000802E10332B00
6301451,6264000,1432CF8023003100
6304311,4294001,0000903900000000
6321570,6214000,2000400000000E00
6329830,4214001,0000802E10332B00
6336689,4394100,8327DA0003FF8000
6343789,4294001,0000903900000000
6351490,421400B,00A13E0800000108
6354329,63D4000,5546000006C50000
6356489,4394000,0000004E
6368310,4214001,0000802E10332B00
6371170,4294001,0000903900000000
6375210,4214006,0000000000000000
6378049,C394003,C202000008016000
6381530,6254000,00FFFF00FFFFFF00
6390110,302911A,000007A2
6399489,4294001,0000903900000000
6405729,421400B,00A13E0800000108
6413429,4214001,0000802E10332B00
6415190,C3D4000,1AAE
6433369,4294001,0000903900000000
6436430,4394100,8327DC0004000000
6443549,4214001,0000802E10332B00
6450889,621401A,8007010000000000
6453829,6314000,4000000000000000
6455989,4394000,0000004E
6458849,421400B,00A13E0800000108
6461709,4294001,0000903900000000
6467928,E094000,001E04401C4B
6470848,4214001,0000802E10332B00
6472630,E094003,000E
6474408,E094020,000A
6477328,4214006,0000000000000000
6480149,6314003,A210700080800000
6481948,E09400A,0036
6483748,E09401A,003E
6486608,4294001,0000903900000000
6488386,621400A,0000
6490527,302911A,00000819
6492687,6314020,00000000
6494467,E094024,001A
6500027,4214001,0000802E10332B00
6506067,2214000,806800000000
6513466,4294001,0000903900000000
6516307,421400B,01A13E0800000108
6535147,4214001,0000802E10332B00
6538027,4394100,8327DC0004008000
6543625,4294001,0000903900000000
6555626,4394000,0000004E
6564025,4214001,0000802E10332B00
6568486,421400B,00A13E0800000108
6571346,6214000,2000400000230E00
6579766,4214006,0000000000000000
6582626,4294001,0000903900000000
6590166,302911A,00000904
6596446,6284000,0000000000000000
6605406,4214001,0000802E10332B00
6608285,4294001,0000903900000000
6618584,421400B,00A13E0800000108
6631344,6254000,00FFFF00FFFFFF00
6634204,4294001,0000903900000000
6637065,4394100,8327DD0003FF8000
6639984,6314024,0000000000000000
6646445,2294000,0000000000000000
6655485,4214001,0000802E10332B00
6657645,4394000,0000004E
6671284,421400B,00A13E0800000108
6680465,4214006,0000000000000000
6683844,4294001,0000903900000000
6690124,302911A,00000A23
6700863,621401A,8007010000000000
6703803,6314000,4000000000000000
6710123,4294001,0000903900000000
6723903,421400B,00A13E0800000108
