Time [s], Analyzer Name, Decoded Protocol Result
0.003445520000000,CAN,Extended CAN Identifier: '102842394' (0x0621401A)
0.003795520000000,CAN,Control Field: '8' (0x8) bytes
0.003835520000000,CAN,Data Field Byte: '0' (0x00)
0.003935520000000,CAN,Data Field Byte: '5' (0x05)
0.004025520000000,CAN,Data Field Byte: '1' (0x01)
0.004115520000000,CAN,Data Field Byte: '0' (0x00)
0.004205520000000,CAN,Data Field Byte: '0' (0x00)
0.004305520000000,CAN,Data Field Byte: '0' (0x00)
0.004395520000000,CAN,Data Field Byte: '0' (0x00)
0.004495520000000,CAN,Data Field Byte: '0' (0x00)
0.004595520000000,CAN,CRC value: '27547' (0x6B9B)
0.004755520000000,CAN,ACK
0.004885540000000,CAN,Extended CAN Identifier: '235487258' (0x0E09401A)
0.005245540000000,CAN,Control Field: '2' (0x2) bytes
0.005295540000000,CAN,Data Field Byte: '0' (0x00)
0.005385540000000,CAN,Data Field Byte: '30' (0x1E)
0.005475540000000,CAN,CRC value: '18929' (0x49F1)
0.005645540000000,CAN,ACK
0.010395420000000,CAN,Extended CAN Identifier: '102842378' (0x0621400A)
0.010755420000000,CAN,Control Field: '2' (0x2) bytes
0.010805420000000,CAN,Data Field Byte: '4' (0x04)
0.010895420000000,CAN,Data Field Byte: '0' (0x00)
0.010995420000000,CAN,CRC value: '10772' (0x2A14)
0.011155420000000,CAN,ACK
0.011655160000000,CAN,Extended CAN Identifier: '35733504' (0x02214000)
0.012025160000000,CAN,Control Field: '6' (0x6) bytes
0.012065160000000,CAN,Data Field Byte: '0' (0x00)
0.012155160000000,CAN,Data Field Byte: h (0x68)
0.012245160000000,CAN,Data Field Byte: '0' (0x00)
0.012345160000000,CAN,Data Field Byte: '0' (0x00)
0.012435160000000,CAN,Data Field Byte: '0' (0x00)
0.012535160000000,CAN,Data Field Byte: '0' (0x00)
0.012635160000000,CAN,CRC value: '8558' (0x216E)
0.012795160000000,CAN,ACK
0.013085120000000,CAN,Extended CAN Identifier: '69287937' (0x04214001)
0.013445120000000,CAN,Control Field: '8' (0x8) bytes
0.013485120000000,CAN,Data Field Byte: '0' (0x00)
0.013585120000000,CAN,Data Field Byte: '2' (0x02)
0.013675120000000,CAN,Data Field Byte: '208' (0xD0)
0.013755120000000,CAN,Data Field Byte: '130' (0x82)
0.013845120000000,CAN,Data Field Byte: '3' (0x03)
0.013935120000000,CAN,Data Field Byte: ~ (0x7E)
0.014025120000000,CAN,Data Field Byte: '23' (0x17)
0.014105120000000,CAN,Data Field Byte: '0' (0x00)
0.014195120000000,CAN,CRC value: '13664' (0x3560)
0.014365120000000,CAN,ACK
0.015635240000000,CAN,Extended CAN Identifier: '103890947' (0x06314003)
0.015995240000000,CAN,Control Field: '8' (0x8) bytes
0.016035240000000,CAN,Data Field Byte: ' ' (0x20)
0.016135240000000,CAN,Data Field Byte: '16' (0x10)
0.016215240000000,CAN,Data Field Byte: 0 (0x30)
0.016305240000000,CAN,Data Field Byte: '0' (0x00)
